case_type,rank,sample_id,image_file,v01_label_peak_keep_ratio,v11_label_peak_keep_ratio,v01_label_peak_error_pred,v11_label_peak_error_pred,v01_pred_noise_floor,v11_pred_noise_floor,v11_minus_v01_peak_error
improved,1,120,improved_01_sample_00120.png,0.8550805107142468,0.994149831820597,147.0327289459123,27.819378613107517,200.4186359253513,204.02667524749097,-119.2133503328048
improved,2,875,improved_02_sample_00875.png,0.8624330832975672,1.0198481130799861,187.19466723119007,69.2407229364114,189.4879353444908,191.52567414818887,-117.95394429477867
improved,3,1242,improved_03_sample_01242.png,1.2075005017880944,1.0861611308681263,258.7529194877853,141.17659482622577,353.6490051713189,342.2886314240501,-117.57632466155951
improved,4,805,improved_04_sample_00805.png,0.7331358031974489,0.8263667115458929,286.1855760003118,186.20460617964721,203.38912029045738,201.30326459897114,-99.9809698206646
improved,5,1399,improved_05_sample_01399.png,0.8621012650180094,0.9572592836793316,125.73097042498568,38.96940563202759,12.416179270835475,15.419462548703404,-86.7615647929581
worse,1,318,worse_01_sample_00318.png,0.9966675689534727,1.0856090799876017,3.247885654513766,83.43713610447014,8.64839769891534,14.188801369142002,80.18925044995638
worse,2,155,worse_02_sample_00155.png,0.9744692845318224,0.9016291821577812,26.23323814513799,101.07766443926891,11.940222793049532,13.662965056971554,74.84442629413093
worse,3,1875,worse_03_sample_01875.png,0.8924466404001709,0.8196406072132304,99.40030426673968,166.68729444689325,206.17081855664424,207.28297529838645,67.28699018015357
worse,4,709,worse_04_sample_00709.png,0.992235806974957,1.0906732944991804,6.694084759334089,68.54951195674107,7.2168675245062435,15.225969032514278,61.85542719740698
worse,5,1519,worse_05_sample_01519.png,0.9113278512140122,0.8544771360171738,91.28167800104211,149.8054506824908,18.51909387754744,16.267878755328883,58.52377268144869
